student.stage1.001	…ゾンビのせいじゃない…勉強したくなくて寝てるだけ…
student.stage1.002	5分だけ…あと5分だけ寝かせて…
student.stage1.003	起きたら試験だ。僕は起きない。
student.stage1.004	ゾンビより怖いのは実技評価だよ…
student.stage1.005	内申はもう終わってる。ゾンビくらい何だ…
student.stage1.006	この床…思ったより涼しいな…
student.stage1.007	お母さん…今日は塾に行きたくない…
student.stage1.008	このまま休みまで寝てる…
student.stage1.009	夜間自習をサボって寝てたら世界が終わってた…
student.stage1.010	5時間目のあと目を閉じたのにまだ開かない…
student.stage1.011	受験まで100日なのに世界の方が先に終わった…
student.stage1.012	ゾンビは夜間自習はさせないみたい…
student.stage1.013	給食にまた豆もやし…いっそここで寝る…
student.stage1.014	宿題やってないから、ちょうどよかった…
student.stage1.015	調査書に「ゾンビ事態を生存」って書いてくれるかな…
student.stage1.016	模試の判定表を見て先に倒れたんだ…
student.stage1.017	お母さんの小言はゾンビの唸りより長い…
student.stage1.018	遅刻して学校が消えればと思ったら…本当になった…
student.stage1.019	英単語100個覚えてて気を失った…
student.stage1.020	ゾンビたちも朝礼は立って聞いてた…
student.stage1.021	問題集3冊買ったのに表紙しか見てない…
student.stage1.022	修学旅行の代わりにゾンビ体験だなんて…
student.stage1.023	体操服に着替えてる間に世界が終わった…
student.stage1.024	塾のバスを逃してよかった…初めて…
student.stage1.025	成績表が出る日だから起きない…
student.stage1.026	隣のクラスの1位もゾンビの前では平等だった…
student.stage1.027	補習じゃなければ何でもいい…ゾンビでも…
student.stage1.028	グループ課題のメンバーが全員ゾンビに…楽になった…
student.stage1.029	休み時間の10分が一番恋しい…
student.stage1.030	ゾンビは少なくとも宿題チェックはしない…
student.stage1.031	朝の自習で目が覚めてたことがない…
student.stage1.032	大学に行けば何とかなると言われたけど…学校が先に逝った…
student.stage1.033	今日登校しなければ普通の欠席だったのに…
student.stage1.034	試験範囲よりゾンビの方が少なくて驚いた…
student.stage1.035	給食の列で押されて転んだふりをしてる…
student.stage1.036	職員室に呼ばれるよりゾンビの方がマシ…
student.stage1.037	ボランティア時間を埋めに来てこのざま…
student.stage1.038	1問の差で判定が下がった日だ…触らないで…
student.stage1.039	アラームを5個消したら世界がこうなった…
student.stage1.040	休みの宿題は始業前日の自分に任せたのに…
student.stage1.041	ゾンビも僕の間違いノートを見たら逃げると思う…
student.stage1.042	志望理由書を書いてたら自分が誰か分からなくなった…
student.stage1.043	国数英の次が生存科目だとは…
student.stage1.044	カンニングじゃない…目が勝手に行っただけ…
student.stage1.045	学校に行きたくないって祈ったけど、ここまでとは…
student.stage1.046	体力測定の長距離走…今いちばん後悔してる…
student.stage1.047	短縮授業だと思って喜んでたのに…
student.stage1.048	制服を新しく買ったのに世界が終わった…
student.stage1.049	数学の時間はもう僕もゾンビだった…
student.stage1.050	中間が終わったら遊ぶつもりだったのに…世界が終わった…
student.stage1.051	問題を解きながら寝ると夢でも問題を解いてる…
student.stage1.052	僕の人生計画表にゾンビはいなかったのに…
student.stage1.053	教室のドアを開けると、点呼前にゾンビが先に挙手。
student.stage1.054	体育はゾンビ追跡走の日。3分走がサボり時間に。
student.stage1.055	給食の列が乱れ、トレイ受け渡しを毎回邪魔するゾンビ。
student.stage1.056	宿題提出すると、先にゾンビが答案をめくった。
student.stage1.057	ピアノ部がチャイムをゾンビリズムの稽古に変えた。
student.stage1.058	私より先に、食事が冷めていった。ゾンビより速い。
student.stage1.059	先生が点呼で宿題チェックを止めた。ゾンビアラームが鳴った。
student.stage1.060	部活室を開けると、まず疲れたゾンビが迎えに来た。
student.stage1.061	英語授業1日目、ゾンビが“hi”と発音を採点した。
student.stage1.062	図書館は静かとだけ言うのに、背後でドスンと響く。
student.stage1.063	点呼前は全員一列。ゾンビまで一瞬たじろいだ。
student.stage1.064	美術は上手い線の連続。私のシルエットだけゾンビ級。
student.stage1.065	理科室で、ゾンビが試薬を嗅いで1滴だけ飲んだ。
student.stage1.066	給食列は長い。防御壁みたいにゾンビが詰まる。
student.stage1.067	三国志はできたけど、群れの攻略は無理だった。
student.stage1.068	清掃当番だから、予備に呼吸器まで持ってきた。
student.stage1.069	職員室は静かなふり、廊下端でゾンビ会議らしい。
student.stage1.070	体操服を着替えると、先に腕を上げたのはゾンビ。
student.stage1.071	400m走って、危うく満点級の残りを取り戻した。
student.stage1.072	窓が揺れ、ピアノが鳴り、窓番になったのはゾンビ。
student.stage1.073	最後30分でゾンビが「時間！」と叫び、カップを奪った。
student.stage1.074	返却は端末の番。でも、まずノートはゾンビが奪取。
student.stage1.075	発表後、拍手が起きた。ゾンビはノイズだけ追加した。
student.stage1.076	作文テーマは「ゾンビ王国で一日」。満点扱いだって。
student.stage1.077	今日は欠席より生存者名簿の方が重要だった。
student.stage1.078	図書の消失はない。代わりに防衛マニュアルがあった。
student.stage1.079	非常ベルが鳴ると、まずゾンビがスープを取った。
student.stage1.080	文化祭中のゾンビダンスが、ボーナス点を削った。
student.stage1.081	理科実験室のドアが壊れても実験は成立しない。
student.stage1.082	自習は静かにと言うのに、ゾンビが時計をペンで叩く。
student.stage1.083	韓国語で「ゾンビ」と書いたら、次に「明日」と出た。
student.stage1.084	グループ作業にゾンビリーダー。議事録は消えた。
student.stage1.085	チョークが床に落ちた瞬間、まずゾンビが奪っていった。
student.stage1.086	合宿初日の夜も、ゾンビは規則冊子を持参。
student.stage1.087	サッカーボールより遅いのは、ゾンビGK。
student.stage1.088	休み時間は10分。心拍もその分だけ止まる。
student.stage1.089	遅刻欄に名前じゃなくバッジを入れた。
student.stage1.090	昼食後片づけ。ゴミ箱はすでにゾンビ側だった。
student.stage1.091	成績表にゾンビ特性欄は入れないでくれ。
student.stage1.092	保健は先に感染チェック。次に手洗い。
student.stage1.093	ゾンビのピアノは、私の曲より重みがある。
student.stage1.094	試験前は皆が猛勉強。ゾンビはパニック待機。
student.stage1.095	バス停では、全員の乗車確認をゾンビが担当。
student.stage1.096	保護者会で先生は「顔つきがゾンビっぽい」と言う。
student.stage1.097	下校後は部活よりゾンビ隊の予行が忙しい。
student.stage1.098	軽い走行で「dart!」と囁き、すぐ追ってきた。
student.stage1.099	英単語は「ゾンビ」が一番簡単だった。
student.stage1.100	課題は3体を避けて、教室に戻るだけ。
student.stage1.101	清掃日。1本のほうきがゾンビ盾に没収された。
student.stage1.102	「締切」と言ったら、ゾンビでさえ静かに整列。
student.stage1.103	生徒会長選は三人のゾンビ候補から1人が当選。
student.stage1.104	修学旅行バスにも、ゾンビ専用座席表があった。
student.stage1.105	生活課題は返却され、ゾンビでも難題だった。
student.stage1.106	ハンバーガーは見せだけ。ゾンビが先にかじった。
student.stage1.107	美術室での飛沫は、ゾンビ画として高評価。
student.stage1.108	国語の答案より、ゾンビを見つめる目が多い。
student.stage1.109	出席は遅れまくり。ゾンビ時刻表だけ正確。
student.stage1.110	誕生日のろうそくは、ゾンビ呼吸で消した。
student.stage1.111	リレー新ルール：触れたら即感染。
student.stage1.112	給食列で「もっと」と厨房は言う。ゾンビの悲鳴。
student.stage1.113	窓を閉めろ命令。外ではゾンビの点呼が開始。
student.stage1.114	辞書を開くと、まず「ゾンビ語」が並ぶ。
student.stage1.115	部活会議録が警備シフト表になっていた。
student.stage1.116	制服ボタンが1つ外れた。ゾンビは予備要員を要請。
student.stage1.117	通学途中、警備ゾンビがバス列へ突入。
student.stage1.118	薬品は失敗しやすい。ゾンビドリンクは混ざりやすい。
student.stage1.119	あの日、サバイバル掲示板が成績表を圧した。
student.stage1.120	放送が切れると全員凍る。ゾンビは深呼吸。
student.stage1.121	ホームルームで「君、ゾンビ班？」と聞かれた。
student.stage1.122	門の整列訓練で、ゾンビ列の隊長誕生。
student.stage1.123	テスト終了時、私より先に手を挙げたゾンビ。
student.stage1.124	掃除で足音が一番大きいことをゾンビが証明。
student.stage1.125	加湿器が壊れ、ゾンビの呼吸練習が始まる。
student.stage1.126	運動会ゴールでは、技より速度が点数になる。
student.stage1.127	反応速度実験で、先に手を上げたのはゾンビ。
student.stage1.128	部活動大会は「ゾンビサバイバル1組」に。
student.stage1.129	勉強中にノックが聞こえる。来たのは疾走ゾンビ。
student.stage1.130	昼食メニューに「分割」が出て、恐怖も半々。
student.stage1.131	委員長は静かにと言ったが、最も騒がしいのはゾンビ。
student.stage1.132	読書ログはゾンビ主導でも減点はなかった。
student.stage1.133	放課後勉強を終えて先に退室、ゾンビがTAに。
student.stage1.134	運動場の角で、ホームランネットがゾンビ仕様だった。
student.stage1.135	クラス委員は忙しく、ゾンビは逆に冷静そのもの。
student.stage1.136	科学体験日、モデルはやっぱりゾンビ最高。
student.stage1.137	先生の褒め言葉が過剰。ゾンビが後ろで笑う。
student.stage1.138	終礼の合言葉は「まだ生きてる」。
student.stage1.139	迷路課題はゾンビ回避より遅く解けた。
student.stage1.140	靴紐を結ぶ間、背後でゾンビがハサミサイン。
student.stage1.141	部室は暗いけど、ゾンビの顔だけが明るい。
student.stage1.142	副菜日、注文がゾンビの手前で消える。
student.stage1.143	進路面談で、ゾンビ職業案が1位だった。
student.stage1.144	白衣で測ると、まずゾンビ体温が出た。
student.stage1.145	綱引きでは私が引き、ゾンビは見学だけ。
student.stage1.146	門で先生が「遅刻？」と聞くと、ゾンビは「満杯」と答えた。
student.stage1.147	班長は口数少なく、行動はゾンビ級。
student.stage1.148	会議で私のPPTはゾンビの落書きに負けた。
student.stage1.149	昼のベルで、ゾンビがラーメンへ突進した。
student.stage1.150	放課後勉強中に居眠り。宿題ルートはゾンビ点検。
student.stage1.151	図書予約の先に座席番号を取ったのはゾンビ。
student.stage1.152	体操服を着ると、マスク前に私をゾンビ認識。
student.stage1.153	授業が終わったと思ったら、黒板のゾンビ警報が先に鳴った。
student.stage1.154	宿題締切を先にしようとしたら、先に避難訓練が来た。
student.stage1.155	模試の日、ノートを開く前に点呼はゾンビが済ませた。
student.stage1.156	成績より怖いのは、ゾンビサバイバルの点数低下だ。
student.stage1.157	勉強は後回しでいい。ゾンビは既に門へ向かってる。
student.stage1.158	英単語は忘れたけど、ゾンビ対策呪文だけ覚えた。
student.stage1.159	昼食は毎日通りでも、最初に取ったのはゾンビだ。
student.stage1.160	昼食列に並ぶと、トレイはすでにゾンビに取られていた。
student.stage1.161	昼には宿題より避難ルート確認が優先だ。
student.stage1.162	ロックダウン準備の列は、開校前より長かった。
student.stage1.163	体育では腕立てでなく、ゾンビ回避をした。
student.stage1.164	体操服がくたびれても、ゾンビの距離は縮まる。
student.stage1.165	黒板を拭く前に、まずゾンビ足跡を消した。
student.stage1.166	図書室で読書中、ゾンビノイズの嵐が始まった。
student.stage1.167	先生の「静かに」は後回し。先にゾンビが巡回した。
student.stage1.168	点呼は「遅刻」。逃走ステップを1歩だけ増やした。
student.stage1.169	ボタンが外れていても、清潔感は生存の鎧だ。
student.stage1.170	事務用草案を作ったら、先に警備連絡が来た。
student.stage1.171	先生が宿題の匂いを嗅いで、感染チェックを付けられた。
student.stage1.172	母は「家にいる？」と送り、すぐ「ゾンビは？」に訂正。
student.stage1.173	保護者会より先に避難映像の提出を求められた。
student.stage1.174	放課後部活の打ち合わせは、既にゾンビ隊の待機。
student.stage1.175	明日の試験日。スピーカーは避難反復放送だけだ。
student.stage1.176	体育館床は滑りやすい。追跡は全部出口訓練。
student.stage1.177	ゾンビ前線は教室ごとに交代し、部活対抗戦みたい。
student.stage1.178	これは理科より感染実験デモに近い。
student.stage1.179	司書の「静かに」は囁きで、避難経路をさりげなく示した。
student.stage1.180	残業宿題は消えやすい。経路暗記は消えない。
student.stage1.181	昼の列は短めでも、生存列は長くて遅い。
student.stage1.182	給食の匂いは消え、先に広がるのはゾンビ息だ。
student.stage1.183	練習はほぼ演習。でも警報は本気だ。
student.stage1.184	校内放送が切れたら、次はゾンビ注意報再生。
student.stage1.185	廊下を掃いてゾンビ跡を拭き、準備帽を脱いだ。
student.stage1.186	体育テープより、ゾンビ回廊封鎖が優先だ。
student.stage1.187	部活は停止。ゾンビ追跡班が即出動。
student.stage1.188	中間範囲は狭かった。ゾンビは意地で広げてきた。
student.stage1.189	保護者説明会はオンライン、横画面は避難警報。
student.stage1.190	事務室前で待ってると、ゾンビ集会を止めろと言われた。
student.stage1.191	成績表更新は遅い。生存チェックは即時更新。
student.stage1.192	門前では昼休みでも、ゾンビが距離を教えてくれた。
student.stage1.193	体育の縄跳びよりゾンビをだます方が難しい。
student.stage1.194	課題ノートを畳み、背負子の紐を先に締めた。
student.stage1.195	体育服の風なんて気にしない、ゾンビの突風が本物。
student.stage1.196	合宿リハは中止。警報台詞だけをリハーサルした。
student.stage1.197	廊下占有は停止中。今は避難導線が授業。
student.stage1.198	グループ課題は延期。サバイバル説明が最優先。
student.stage1.199	授業に集中できない。先生より先にゾンビに気づかれる。
student.stage1.200	面談は後で。先に感染疑いの確認。
student.stage1.201	科学部から追跡端末を1つだけ借りた。
student.stage1.202	韓国語発表は捨て、ゾンビ生存ストーリーを見た。
student.stage1.203	面白かったのは、ゾンビと並んで歩くこと。
student.stage1.204	避難図は授業プリントより先に貼ってあった。
student.stage1.205	1時間目は休み、代わりにゾンビ導線を暗記。
student.stage1.206	宿題リストを隠しても、まず盗むのはそれ。
student.stage1.207	新しい証明は、成績表じゃなく生存完了印。
student.stage1.208	「静かに」と代表が叫び、すぐ後ろをゾンビが突進。
student.stage1.209	トッポギよりも遅いのは、ゾンビ食堂の配達。
student.stage1.210	図書席予約は簡単。廊下封鎖は地獄。
student.stage1.211	司書は小説より生存ガイドを勧める。
student.stage1.212	廊下清掃は簡単。ゾンビ通過チェックは難しい。
student.stage1.213	放課後だと思ったら、ずっと閉じ込められた。
student.stage1.214	ゾンビチェックインは小テストより重要。
student.stage1.215	保健の列は短いけど、感染検査で全体が止まる。
student.stage1.216	看護師は消毒より、まず警報対応だった。
student.stage1.217	薬は遅れ、封鎖テープが先に配られた。
student.stage1.218	体育記録帳はゾンビ追跡ログに置き換わった。
student.stage1.219	サッカーはゾンビ回避のパス練習に変更。
student.stage1.220	部活会食は「ゾンビ安全食」に再パック。
student.stage1.221	清掃員なら黒板より、まず足跡消しをする。
student.stage1.222	廊下終了ベルは静かだ。封鎖ベルはうるさい。
student.stage1.223	整理整頓は後回し。まずはゾンビ対処。
student.stage1.224	感染区画の指定で図書室が満員になった。
student.stage1.225	試験は終わっても帰宅不可。学校は避難所だ。
student.stage1.226	修学旅行申請の前に先に避難マップを描いた。
student.stage1.227	修学旅行は廊下地図演習になった。
student.stage1.228	鍵付き部屋でも、窜口からゾンビは侵入する。
student.stage1.229	点呼は止まった。ゾンビ行列制御だけが機能。
student.stage1.230	教員研修中、先生たちも警報で苦笑い。
student.stage1.231	担任は宿題提出を言い、ゾンビは扉を閉めろと叫ぶ。
student.stage1.232	先生は疲れた顔で「先生でも受ける試験」と言った。
student.stage1.233	校長の挨拶は短く、生存掲示はそれ以上。
student.stage1.234	事務室は証明書より防護マスクを配った。
student.stage1.235	放送は一度切れたあと、警報がきれいに再開。
student.stage1.236	売店は菓子より防御手袋が増えた。
student.stage1.237	今日は販売員がパンじゃなく笛を売っていた。
student.stage1.238	制服ボタンも紐も今は生存装備。
student.stage1.239	弱点を隠せ。噛まれて穴が開くな。
student.stage1.240	体育服のポケットにはペンより笛を入れた。
student.stage1.241	旅行計画は、恋愛より経路確認用に使う。
student.stage1.242	修学旅行バスはゾンビ区域をスキップする車両。
student.stage1.243	行事訓練は放送変更で延長された。
student.stage1.244	今の運動点数は追跡生存率で測る。
student.stage1.245	勉強中に避難通知で叩き起こされた。
student.stage1.246	放送練習は3秒ゾンビ列の再現実習。
student.stage1.247	ラジオ台本より、警報台本の方が長くなった。
student.stage1.248	通学ベルは鳴ったが、始業はゾンビ警報でずれた。
student.stage1.249	トイレ前に手洗い→廊下封鎖を確認。
student.stage1.250	ゴミ箱列は消え、トイレが経路に変わった。
student.stage1.251	トイレの鍵がなくなっても先に封鎖ドアが決まる。
student.stage1.252	トイレ順番は偶発的な避難訓練のように。
student.stage1.253	非常ベルは「静かに」より大きく鳴る。
student.stage1.254	体育ブースが避難広報のスタジオに変身。
student.stage1.255	私の緊急アナウンス担当は脚本を止めない。
student.stage1.256	学校のアラームは短い。警報はずっと続く。
student.stage1.257	放送は後からある。ゾンビは今開始。
student.stage1.258	昼会計より先に、ゾンビ対応予算を通した。
student.stage1.259	給食配布は短縮、でも避難経路は長くなる。
student.stage1.260	アレルギー確認は一時停止。接触認証だけ通した。
